Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
Paisley and Renfrewshire North,-10,20,66206,88981,S14000052,S92000003,Scotland,Scotland,Scotland,County,Gavin,Newlands,Male,SNP,Lab,72007,49682,153,11902
Paisley and Renfrewshire South,-11,19,61281,85249,S14000053,S92000003,Scotland,Scotland,Scotland,County,Mhairi,Black,Female,SNP,Lab,64385,43084,133,10679
Perth and North Perthshire,-7,23,72459,98885,S14000054,S92000003,Scotland,Scotland,Scotland,County,Pete,Wishart,Male,SNP,Con,72600,54076,111,7550
"Ross, Skye and Lochaber",-7,24,54169,68433,S14000055,S92000003,Scotland,Scotland,Scotland,County,Ian,Blackford,Male,SNP,LD,54230,39869,80,9443
Rutherglen and Hamilton West,-9,17,82830,105406,S14000056,S92000003,Scotland,Scotland,Scotland,Borough,Margaret,Ferrier,Female,SNP,Lab,80918,53794,125,5230
Stirling,-7,22,67236,91580,S14000057,S92000003,Scotland,Scotland,Scotland,County,Alyn,Smith,Male,SNP,Con,68473,52620,105,9254
West Aberdeenshire and Kincardine,-4,24,73445,96233,S14000058,S92000003,Scotland,Scotland,Scotland,County,Andrew,Bowie,Male,Con,SNP,72640,53345,114,843
West Dunbartonshire,-9,22,69208,89730,S14000059,S92000003,Scotland,Scotland,Scotland,County,Martin,Docherty-Hughes,Male,SNP,Lab,66517,45140,104,9553
Delyn,-11,1,53639,69801,W07000042,W92000004,Clwyd,Wales,Wales,County,Rob,Roberts,Male,Con,Lab,54560,38370,105,865
Alyn and Deeside,-10,1,62016,85354,W07000043,W92000004,Clwyd,Wales,Wales,County,Mark,Tami,Male,Lab,Con,62789,43008,121,213
Wrexham,-9,0,50992,70655,W07000044,W92000004,Clwyd,Wales,Wales,County,Sarah,Atherton,Female,Con,Lab,49737,33532,70,2131
Llanelli,-14,-8,59314,82826,W07000045,W92000004,Dyfed,Wales,Wales,County,Nia,Griffith,Female,Lab,Con,60518,38233,152,4670
Gower,-14,-9,61820,79176,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Tonia,Antoniazzi,Female,Lab,Con,61762,44482,122,1837
Swansea West,-13,-8,58776,83573,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Geraint,Davies,Male,Lab,Con,57078,35830,127,8116
Swansea East,-13,-7,58011,82731,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,Carolyn,Harris,Female,Lab,Con,58450,33579,66,7970
Aberavon,-12,-8,49821,68203,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Stephen,Kinnock,Male,Lab,Con,50750,31598,82,10490
Cardiff Central,-9,-8,57456,93276,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Jo,Stevens,Female,Lab,Con,64037,41822,204,17179
Cardiff North,-10,-7,67196,90507,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Anna,McMorrin,Female,Lab,Con,68438,52666,111,6982
Rhondda,-11,-6,51811,69278,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Chris,Bryant,Male,Lab,Con,50262,29642,83,11440
Torfaen,-9,-5,61896,82378,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Nick,Thomas-Symonds,Male,Lab,Con,62330,37176,126,3742
Monmouth,-8,-5,62248,85613,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,David T. C.,Davies,Male,Con,Lab,67098,50217,136,9982
Newport East,-8,-6,56015,81090,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Jessica,Morden,Female,Lab,Con,58554,36282,80,1992
Newport West,-9,-7,62137,88258,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Ruth,Jones,Female,Lab,Con,66657,43433,130,902
Arfon,-13,-1,40492,62304,W07000057,W92000004,Gwynedd,Wales,Wales,County,Hywel,Williams,Male,PC,Lab,42215,29074,92,2781
Aberconwy,-12,0,45525,58941,W07000058,W92000004,Clwyd,Wales,Wales,County,Robin,Millar,Male,Con,Lab,44699,31865,123,2034
Clwyd West,-11,0,58644,73371,W07000059,W92000004,Clwyd,Wales,Wales,County,David,Jones,Male,Con,Lab,57714,40203,147,6747
Dwyfor Meirionnydd,-12,-1,44394,61438,W07000061,W92000004,Gwynedd,Wales,Wales,County,Liz,Saville Roberts,Female,PC,Con,44362,29928,128,4740
Clwyd South,-10,-1,54996,72600,W07000062,W92000004,Clwyd,Wales,Wales,County,Simon,Baynes,Male,Con,Lab,53919,36306,110,1239
Montgomeryshire,-11,-1,48690,63271,W07000063,W92000004,Powys,Wales,Wales,County,Craig,Williams,Male,Con,LD,48997,34214,213,12138
Ceredigion,-12,-6,54242,73076,W07000064,W92000004,Dyfed,Wales,Wales,County,Ben,Lake,Male,PC,Con,56250,40105,117,6329
Preseli Pembrokeshire,-15,-7,57291,78902,W07000065,W92000004,Dyfed,Wales,Wales,County,Stephen,Crabb,Male,Con,Lab,59606,42419,153,5062
Carmarthen West and South Pembrokeshire,-15,-8,57755,77544,W07000066,W92000004,Dyfed,Wales,Wales,County,Simon,Hart,Male,Con,Lab,59158,42114,146,7745
Carmarthen East and Dinefwr,-14,-7,55750,71891,W07000067,W92000004,Dyfed,Wales,Wales,County,Jonathan,Edwards,Male,PC,Con,57419,41002,145,1809
Brecon and Radnorshire,-9,-2,54441,69244,W07000068,W92000004,Powys,Wales,Wales,County,Fay,Jones,Female,Con,LD,55490,41319,110,7131
Neath,-12,-7,56097,73887,W07000069,W92000004,West Glamorgan,Wales,Wales,County,Christina,Rees,Female,Lab,Con,56419,36756,107,5637
Cynon Valley,-10,-5,51422,70673,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Beth,Winter,Female,Lab,Con,51134,30236,99,8822
Merthyr Tydfil and Rhymney,-9,-4,61716,76168,W07000071,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Gerald,Jones,Male,Lab,Con,56322,32246,83,10606
Blaenau Gwent,-9,-3,51335,69609,W07000072,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Nick,Smith,Male,Lab,Brexit,50739,30219,84,8647
Bridgend,-12,-9,59998,83796,W07000073,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Jamie,Wallis,Male,Con,Lab,63303,42236,101,1157
Ogmore,-11,-8,55572,77515,W07000074,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Chris,Elmore,Male,Lab,Con,57581,35390,96,7805
Pontypridd,-11,-7,58940,82153,W07000075,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Alex,Davies-Jones,Female,Lab,Con,60327,39060,153,5887
Caerphilly,-10,-6,63603,88129,W07000076,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Wayne,David,Male,Lab,Con,63166,40117,160,6833
Islwyn,-9,-6,55697,76451,W07000077,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Chris,Evans,Male,Lab,Con,55423,34350,145,5464
Cardiff West,-10,-8,66762,93312,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,Kevin,Brennan,Male,Lab,Con,68508,46177,144,10986
Cardiff South and Penarth,-10,-9,76006,115406,W07000080,W92000004,South Glamorgan,Wales,Wales,Borough,Stephen,Doughty,Male,Lab,Con,78837,50579,160,12737
